title,keywords,description,,url,Topic,Sub classification,_id
Chemical entities of biological interest,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,A structured classification of chemical compounds of biological relevance.,,https://lod-cloud.net/dataset/bioportal-chebi,health,Biochemistry,bioportal-chebi
National Science Foundation (RKBExplorer),deref-vocab; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,,,https://lod-cloud.net/dataset/rkb-explorer-nsf,cultural heritage,,rkb-explorer-nsf
Gene Regulation Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,The BOOTStrep Ontology is a conceptual model for the domain of gene regulation. It covers processes that are linked to the regulation of gene expression as well as physical entities that are involved in these processes (such as genes and transcription factors) in terms of ontology classes and semantic relations between classes. GRO is intended to represent common knowledge about gene regulation in a formal way rather than representing extremely fine-grained classes as can be found in ontologies such as the Gene Ontology (GO) (created for data base annotation purposes) and various relevant databases. The main purpose of the ontology is to support NLP applications. It has a particular focus on the relations between processes and the molecules (participants) involved. The basic structure of the GRO is a direct acyclic graph (DAG) with ontology classes as nodes and is-a relations between classes as edges. The taxonomic backbone is further enriched by several semantic relation types (part-of  from-species  participates-in with the two sub-relations agent-of and patient-of).,,https://lod-cloud.net/dataset/bioportal-bootstrep,health,genetics/Bioinformatics,bioportal-bootstrep
Dante Latin Loanwords in LiLa,Latin; Lexicon; LLOD; LiLa; Dante,This glossary linked to the LiLa Knowledge Base collects the Latin loanwords attested in the four Italian works by XIIIth Century writer and poet Dante Alighieri (Rime  Vita Nova  Convivio and Commedia),,https://lod-cloud.net/dataset/DanteLatinLoanwords,cultural heritage,,DanteLatinLoanwords0000018b23f80e8e
VIVO University of Florida,deref-vocab; education; format-rdf; format-rdfs; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; science; social-networks; vivo,VIVO is a resource of the University of Florida that provides information on people  departments  facilities  courses  grants  and publications. Information is available as Linked Data and RDF dump. A SPARQL Endpoint can be used at http://vivo.ufl.edu:2020,,https://lod-cloud.net/dataset/vivo-university-of-florida,Education,,vivo-university-of-florida
seoul-bike-data,,This dataset contains data from the seoul  Korea about bike rental et al.,,https://lod-cloud.net/dataset/seoul-bike-data,cultural heritage,,seoul-bike-data
Lexvo.org,language linguistics crossdomain deref-vocab format-rdf linkeddata lod provenance-metadata rdf,Lexvo.org brings information about languages  words  characters  and other human language-related entities to the Linked Data Web and Semantic Web. The Linked Data Web is a worldwide initiative to create a Web of Data that exposes the relationships between entities in our world. Lexvo.org adds a new perspective to this Web by exposing how everything in our world is connected in terms of language  e.g. by considering semantic relationships between multilingual labels (like book or New York). Lexvo not only defines global IDs (URIs) for language-related objects  but also ensures that these identifiers are dereferenceable and highly interconnected as well as externally linked to a variety of resources on the Web.,,https://lod-cloud.net/dataset/lexvo-org,linguistics,thesaurus,lexvo-org
English Language Books listed in Printed Book Auction Catalogues from 17th Century Holland,auction; bibliographic; book; catalogue; deref-vocab; dutch; english; format-rdf; format-rdfs; historical; holland; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; no-vocab-mappings; printed; provenance-metadata; publications; published-by-third-party; puritans,The books are those listed in the English language section of Dutch printed book auction catalogues of collections of scholars and religious ministers. In some cases  the prior owner of the books listed was from England; in others they were of dutch nationality. For more information about printed book auction catalogues  see http://bibliopolis.nl,,https://lod-cloud.net/dataset/printed-book-auction-catalogues,cultural heritage,,printed-book-auction-catalogues
DBnary,Dutch; Linguistic Dataset LOD RDF; bulgarian; english; finnish; french; german; greek; indonesian; italian; japanese; latin; lemon; lexical-resources; lithuanian; llod; lod; malagasy; polish; portuguese; russian; serbo-croatian; spanish; swedish; turkish; wiktionary; chinese; norwegian; kurdish,Extracts of wiktionary data for several languages  structured as an RDF graph  based mainly on the ontolex-lemon model. Bulgarian  Chinese  Dutch  English  Finnish  French  German  Greek  Indonesian  Italian  Japanese  Kurdish  Latin  Lithuanian  Malagasy  Norwegian  Polish  Portuguese  Russian  Serbo-Croatian  Spanish  Swedish and Turkish.,,https://lod-cloud.net/dataset/dbnary,linguistics,lexicon,dbnary
Data about Czech business entities from the ARES system - Trade Licensing Register,czech; czech-republic; deref-vocab; format-adms; format-dcterms; format-gr; format-rov; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,Data about Czech business entities from the ARES system - Trade Licensing Register,,https://lod-cloud.net/dataset/cz-ares-rzp,cultural heritage,,cz-ares-rzp
Allie Abbreviation And Long Form Database in Life Science,abbreviation; biomedical; dictionary; format-owl; license-metadata; lifesciences; lod; no-proprietary-vocab; provenance-metadata; published-by-producer,A database of abbreviations and long forms utilized in Lifesciences. It provides a solution to the issue that many abbreviations are used in the literature  and polysemous or synonymous abbreviations appear frequently  making it difficult to read and understand scientific papers that are not relevant to the reader's expertise. Allie contains abbreviations and their corresponding long forms extracted from titles and abstracts in the entire MEDLINE®  a database of the U.S. National Library of Medicine. MEDLINE stores over 20 million bibliographic information in life science and is suitable for extracting domain specific abbreviations and their long forms appearing in actual literature.,,https://lod-cloud.net/dataset/allie-abbreviation-and-long-form-database-in-life-science,SLR,SLR,allie-abbreviation-and-long-form-database-in-life-science
E1 - Nuvem dados,,Nuvem de dados gerados a partir da transcrição do entrevistado E1,,https://lod-cloud.net/dataset/E1,,,E1
research.data.gov.uk,data.gov.uk; deref-vocab; format-foaf; format-rdf; format-skos; funding; government; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-producer; research,Research-related data from data.gov.uk:    * [Namespace for research projects](http://research.data.gov.uk/doc/project)  * Engineering and Physical Sciences Research Council (EPSRC) funded projects  * Medical Research Council (MRC) funded projects  * Technology Strategy Board (TSB) funded projects  * Grant schemes  * People associated with projects    The data is from the BIS dataset.    Part of package:data-gov-uk,,https://lod-cloud.net/dataset/research-data-gov-uk,SLR,,research-data-gov-uk
myopenlink dataspaces,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; format-cert; format-dcterm; format-foaf; format-gr; format-owl; format-pingback; format-rdf; format-rdfs; format-sioc; format-tsioc; format-void; lodcloud-diagram-2014-08-30; non-deref-vocab; sparql; usergeneratedcontent,dataspaces at myopenlink.net,,https://lod-cloud.net/dataset/myopenlink-dataspaces,,,myopenlink-dataspaces
Linked Old Germanic Dictionaries,Dutch; English; German; Gothic; etymology; germanic; ldl-2014; lexical-resources; lexicon; linguistics; llod; lod,Lexical resources (word lists  etymological dictionaries) for Germanic languages in different historical stages:    pre 1100 (incl. Gothic  Old High German  Old English)    1100-1600 (incl. Middle English  Middle Dutch  Early Modern High German)  post 1600 (Modern English  Modern High German).    Includes links to Wiktionary and lexvo.    We are currently negotiating with the original author to publish our RDF version of the Old Germanic Etymological Dictionaries from http://www.koeblergerhard.de/wikiling/.    The full data set comprises the following components:    a) RDF version of Gerhard Köbler's Old Germanic dictionaries  incl. links to lemonUby (Wiktionary) and lexvo [not included yet]    b) bilingual word lists generated from historical Germanic bible translations using the GIZA++ translation tables  349021 triples  incl. links to lemonUby (Wiktionary  773) and lexvo (34824)    c) bilingual word lists generated from historical Germanic bible translations using diagnostic context pairs (i.e.  verses overlapping in exactly one word)  inkl. links to lexvo,,https://lod-cloud.net/dataset/germlex,cultural heritage,,germlex
Universal Dependencies Treebank Coptic,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Coptic treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-coptic,linguistics,corpora,universal-dependencies-treebank-coptic
Test,,Test Präsi,,https://lod-cloud.net/dataset/Test,,,Test
Covid19 Impact on Banking ontology (Covid19-IBO 1.5),,Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,https://lod-cloud.net/dataset/Biop,cultural heritage,,Biop
National Diet Library of Japan subject headings,duplicate; lodcloud-diagram-2011-09-19; meta.duplicate,duplicate:national-diet-library-authorities,,https://lod-cloud.net/dataset/national-diet-library-subject-headings,cultural heritage,,national-diet-library-subject-headings
SNOMED Clinical Terms,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,SNOMED Clinical Terms,,https://lod-cloud.net/dataset/bioportal-snomedct,SLR,publication,bioportal-snomedct
MediCare,deref-vocab; format-rdf; lifesciences; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; published-by-third-party; vocab-mappings,,,https://lod-cloud.net/dataset/fu-berlin-medicare,Unclassified,unclassified,fu-berlin-medicare
Linked Logainm,geographic; linked oped data; lod,Linked Logainm is a collaborative project undertaken by the Digital Repository of Ireland (DRI)  the Digital Enterprise Research Institute (DERI)  Fiontar at Dublin City University  the National Library of Ireland and the Place names Branch of the Department of Arts  Heritage and the Gaeltacht. The Linked Logainm project has created a new open dataset  which allows Irish place names to be linked across the world by cutting edge technologies developed in Ireland. The new Linked Data version of the authoritative bilingual database of Irish place names logainm.ie  is an open resource to be widely used by web developers  computer scientists  researchers  the heritage community and librarians and archivists.,,https://lod-cloud.net/dataset/linked-logainm,education,,linked-logainm
health Ontology,,A sensor based Health Care Ontology,,https://lod-cloud.net/dataset/health_Ontology,IOT,,health_Ontology
Universal Dependencies Treebank Gothic,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Gothic treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-gothic,linguistics,corpora,universal-dependencies-treebank-gothic
Apertium RDF EO-CA,Apertium; Catalan; Esperanto; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,RDF version of the Apertium bilingual dictionary EO-CA. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22861 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,,https://lod-cloud.net/dataset/apertium-rdf-eo-ca,linguistics,lexicon,apertium-rdf-eo-ca
Distributed Hydrology Soil Vegetation Model,DHSVM; Vegetation data,DHSVM numerically represents with high spatial resolution (typically on the order of 100 m) the effects of local weather  topography  soil type  and vegetation on the hydrology within watersheds. The model is used to study the impacts of climate change  land use change  forest management practices  flooding  glacier dynamics  stream temperature and stream quality.,,https://lod-cloud.net/dataset/DHSVM,cultural heritage,,DHSVM0000018e07712fbe
Polish Land Parcel Information System (LPIS) dataset @PSNC,Land use; Land parcel; cadastral; land boundary,Polish Land Parcel Information System (LPIS) data (land parcel and cadastral data)  including all the voivodeships. The input data was in the form of geospatial data in shapefile format.,,https://lod-cloud.net/dataset/LPIS_(Poland),cultural heritage,,LPIS_(Poland)
BioLOD for Protein Data Bank Japan,lifesciences,"Data source of this content; PDBj (Protein Data Bank Japan)<br>  Go to <a href=""http://www.pdbj.org/index.html"">source site</a>.",,https://lod-cloud.net/dataset/biolod-pdb,health,Biochemistry,biolod-pdb
Informatics Studies,Cultural Heritage; Heritage Classification,Heritage Informatics,,"https://lod-cloud.net/dataset/Kumar,_Gireesh__and_Singh,_Anand",cultural heritage,,"Kumar,_Gireesh__and_Singh,_Anand"
Linked Open Piracy,attacks; deref-vocab; events; geographic; government; hijackings; icc; imb; lod; lodcloud-diagram-2014-08-30; lodcloud.nolinks; lodcloud.unconnected; maritime; nga; piracy; published-by-producer; sea; shipping-safety,Maritime piracy event descriptions from the International Chamber of Commerce International Maritime Bureau    ## Accessing the dataset    * SPARQL query form  * No dereferenceable URIs for the RDF data,,https://lod-cloud.net/dataset/linked-open-piracy,cultural heritage,,linked-open-piracy
Bio2RDF::Genage,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; vocab-mappings,GenAge is a database of human and model organism genes related to longevity and aging  maintained by the Human Ageing Genomics Resources (HAGR) group.,,https://lod-cloud.net/dataset/bio2rdf-genage,health,Genetics,bio2rdf-genage
Chat Game corpus,conferences locations lod; format-rdf; linguistics; llod; lod; published-by-producer; rdf,A corpus resulting from an object arrangement game using a computer-mediated setting.,,https://lod-cloud.net/dataset/chat-game-corpus,Linguistics,corpora,chat-game-corpus
statusnet-spraci-org,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-foaf; format-pos; format-rdf; format-rdfs; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://spraci.org,,https://lod-cloud.net/dataset/statusnet-spraci-org,,,statusnet-spraci-org
Bio2RDF::Homologene,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,HomoloGene is a system for automated detection of homologs among the annotated genes of several completely sequenced eukaryotic genomes.,,https://lod-cloud.net/dataset/bio2rdf-homologene,health,Genetics,bio2rdf-homologene
Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan),ASCDC; Chinese History; History; Qing Dynasty; Archives; Religion; Secret Societies; Academia Sinica; Institute of History and Philology,The LOD dataset of ASCDC_Database of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan) is created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the research project of the “The Secret Societies in Qing Dynasty” (清代檔案與數位人文研究──以官方查辦民間教門為核心). From 2022 to 2025  this project is funded by the National Science and Technology Council in Taiwan (NSTC 112-2423-H-001-002). The dataset is established and maintained by ASCDC at Academia Sinica in Taipei  Taiwan (ROC). The data includes the archives  persons  religious sects  sect events and place names related to the Chinese secret societies in the Jiaqing era (1796-1820)  which can be served as authority files or controlled vocabularies for the study of the Chinese history. In particular  the data triples of the sect event of the Shifokou Wang’s Clan (石佛口王姓教案) will be focused in this dataset. Containing 8 810 data triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,,https://lod-cloud.net/dataset/ASCDC-Qing-Secret-Societies,Education,,ASCDC-Qing-Secret-Societies000001926f32dacb
SweFN-RDF,lexical-resource; linguistic; llod; lod,Swedish FrameNet (SweFN)  a lexical-semantic in RDF.,,https://lod-cloud.net/dataset/swefn-rdf,linguistics,lexicon,swefn-rdf
EMN,lexicon; linguistic,The Terminology of the European Migration Network in RDF,,https://lod-cloud.net/dataset/emn,linguistics,lexicon,emn
Open Library,access-api; access-bulk; access-json; bibliographic; book; data; format-bibo; format-rdf; library; lld; lod; lodcloud-diagram-2014-08-30; lodcloud.nolinks; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; us,## About    > One web page for every book ever published. It's a lofty  but achievable  goal.    > To build it  we need hundreds of millions of book records  a brand new database infrastructure for handling huge amounts of dynamic information  a wiki interface  multi-language support  and people who are willing to contribute their time  effort  and book data.    > To date  we have gathered about 30 million records (13.4 million are available through the site now)  and more are on the way. We have built the database infrastructure and the wiki interface  and you can search millions of book records  narrow results by facet  and search across the full text of 230 000 scanned books.     ## Openness    All Open Library contributions are in the public domain.  See <http://openlibrary.org/about/license>.    ## Data     * Dump of author records: <http://openlibrary.org/data/ol_dump_authors_latest.txt.gz>     * Dump of edition records: <http://openlibrary.org/data/ol_dump_editions_latest.txt.gz>     * API documentation: <http://openlibrary.org/developers/api>    ## Issues    The content negotiation on entity URIs is buggy. Asking for only application/rdf xml works  but asking for multiple types doesn't.    The triple count is a wild guess based on the numbers of 13 million records and 30 triples per record.,,https://lod-cloud.net/dataset/open-library,cultural heritage,,open-library
OntoBeef Domain,agriculture; animals; beef; beef production; deref-vocab; food; format-owl; format-skos; license-metadata; lifesciences; linked-open-data; lod; meat; provenance-metadata; published-by-producer; vocab-mappings,"Ontology of Beef created within ProOptiBeef project   ([www.prooptibeef.pl](http://www.prooptibeef.pl/ ""ProOptiBeef"")).    Links with LOD datasets (27.06.2013):     - 797 links with AGROVOC    - 211 links with GEMET    - 546 links with NAL and   - 119 links with STW.",,https://lod-cloud.net/dataset/ontobeef-domain,cultural heritage,,ontobeef-domain
Albanet WordNet (as part of Open Multilingual WordNet),lexicon; wordnet; lemon,The Albanet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,,https://lod-cloud.net/dataset/omwn-als,linguistics,lexicon,omwn-als
Renewable Energy Generators,deref-vocab; format-foaf; format-rdf; geodata; geographic; government; lodcloud-diagram-2011-09-19; published-by-third-party,The Renewable Energy Federation maintains an online database of renewable energy generators located in the United Kingdom. The dataset consists of over 5500 generators around the UK  including both on-shore and off-shore installations. The generators have all been categorized based on type and many of them include details of their address  geographic location  and details of the organizations that developed  operate  or own the site. Some wind turbine installations also include details on the number  size and type of turbines.    *Note* this dataset is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),,https://lod-cloud.net/dataset/renewable_energy_generators,cultural heritage,,renewable_energy_generators
statusnet-soucy-cc,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-pos; format-rdf; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://soucy.cc,,https://lod-cloud.net/dataset/statusnet-soucy-cc,,,statusnet-soucy-cc
Multext-East,linguistics; llod; lod,From the web site: Version 4 of the MULTEXT-East resources  a multilingual dataset for language engineering research and development. This dataset contains  for Bulgarian  Croatian  Czech  English  Estonian  Hungarian  Lithuanian  Macedonian  Persian  Polish  Resian  Romanian  Russian  Serbian  Slovak  Slovene  Ukrainian  some or all of the following resources:,,https://lod-cloud.net/dataset/multext-east,Education,,multext-east
linked hypernyms,ldl-2014; lexical-resources; linguistics; llod; lod,This Linked Hypernym dataset attaches entity articles in English  German and Dutch Wikipedia with a DBpedia resource or a DBpedia ontology concept as their type. The types are hypernyms mined from articles' free text using hand-crafted lexicosyntactic patterns.    The dataset contains 2.8 million entity-type assignments  out of which nearly 2.5 million are novel with respect to DBpedia and 2 million w.r.t. Yago 2s and DBpedia.,,https://lod-cloud.net/dataset/linked-hypernyms,publication,,linked-hypernyms
opendatascotland-simd-geographic-access-rank,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-cube; format-dcat; format-dcterm; format-rdf; format-rdfs; format-void; government; license-metadata; lodcloud-diagram-2014-08-30; provenance-metadata; sparql,,,https://lod-cloud.net/dataset/opendatascotland-simd-geographic-access-rank,,,opendatascotland-simd-geographic-access-rank
Breast Cancer Grading Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,assigns a grade to a tumor starting from the 3 criteria of the NGS,,https://lod-cloud.net/dataset/bioportal-bcgo,health,Human biology,bioportal-bcgo
Pakistan Stock Market Data,Pakistan Stock Market,Pakistan Stock Market Data,,https://lod-cloud.net/dataset/http:www.atif-sajjad.comSemster-Project#,cultural heritage,,http:www.atif-sajjad.comSemster-Project#
ProductDB,crossdomain; format-foaf; format-gr; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,ProductDB is the Linked Data view of ProductWiki a resource for free  unbiased product reports written by a dedicated community. ProductDB extracts structured information from ProductWiki and makes this information freely available on the Web.,,https://lod-cloud.net/dataset/productdb,,,productdb
SemanticTweet,format-rdf; lod; lodcloud-diagram-2011-09-19; no-proprietary-vocab; published-by-third-party; usergeneratedcontent; wrapper,SemanticTweet is a simple web service that generates a FOAF RDF document for you from your list of Twitter friends and followers (or more specifically  from the 100 most recent of each of your friends and followers). It does this using the Twitter REST API. This service uses public Twitter data only  and so doesn?t need your Twitter username or password.,,https://lod-cloud.net/dataset/semantictweet,,,semantictweet
Faceted Application of Subject Terminology,authorities; format-dc; format-foaf; format-skos; format-void; license-metadata; lod; lodcloud; lodcloud-diagram-2014-08-30; no-proprietary-vocab; provenance-metadata; publications; published-by-producer,FAST (Faceted Application of Subject Terminology) is an enumerative  faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH). Its purpose is to be easier to understand  control  apply  and use than LCSH. Any valid set of LC subject headings can be converted to FAST headings.    FAST contains 1.6M authority records.    The triple count (30M) is a rough estimate based on the number of authority records. The LCSH link count is based on the observation that many but not all of the authority records have LCSH links. The Geonames link count is based on [this account](http://www.oclc.org/nextspace/018/research.htm) that states 100k total geographic entities with 60% matched to Geonames.,,https://lod-cloud.net/dataset/oclc-fast,cultural heritage,,oclc-fast
Romanian WordNet (as part of Open Multilingual WordNet),lexicon; wordnet; lemon,The Romanian wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,,https://lod-cloud.net/dataset/omwn-ron,linguistics,lexicon,omwn-ron
English Heritage Periods List,archaeology; format-skos; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; schemata,English Heritage Periods List,,https://lod-cloud.net/dataset/english-heritage-periods-list,cultural heritage,,english-heritage-periods-list
Latin Vallex 2.0 in LiLa,Latin; Lexicon; LLOD; LiLa; Valency,Latin Vallex 2.0 is a valency lexicon for Latin built according to the same style of the VALLEX lexicon for Czech. Latin Vallex 2.0 works in connection with the Latin WordNet (LWN). Each Synset in LWN is paired with a LV Valency Frame. The two resources are linked together to the LiLa Lemma Bank.,,https://lod-cloud.net/dataset/Latin_Vallex2.0,linguistics,lexicon,Latin_Vallex2.00000018ae101103e
ROBIN Technical Acquisition Speech Corpus,,RTASC is a Romanian bi-modal corpus (text and speech) of read sentences  containing recordings from 6 speakers (3 males and 3 females). It was designed to serve the need of training the robot Pepper to interact with customers in the laptop department of a computer store.,,https://lod-cloud.net/dataset/racai-llod-rtasc,cultural heritage,,racai-llod-rtasc
GeoNames Semantic Web,format-cc; format-geo; format-rdf; geographic; geography; lod; lodcloud-diagram-2007-05-01; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; lodcloud.nolinks; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; provenance-metadata; published-by-producer,The GeoNames Ontology makes it possible to add geospatial semantic information to the Word Wide Web. All over 6.2 million geonames toponyms now have a unique URL with a corresponding RDF web service. Other services describe the relation between toponyms.    SPARQL endpoints for this data are made available by third parties. [Geonames at Kasabi](http://kasabi.com/dataset/geonames/)  and [FactForge](http://factforge.net/sparql) has it loaded as well.,,https://lod-cloud.net/dataset/geonames-semantic-web,,,geonames-semantic-web0000018eeab077d1
Surge Radio,format-event; format-foaf; format-mo; format-rdf; lod; lodcloud-diagram-2011-09-19; media; music; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,Has RDF descriptions of featured artists and tracks  derived from package:musicbrainz,,https://lod-cloud.net/dataset/surge-radio,,,surge-radio
Universal Dependencies Treebank Japanese-KTC,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Japanese-KTC treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-japanese-ktc,linguistics,corpora,universal-dependencies-treebank-japanese-ktc
Health Level Seven,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,This version is the first update to Normative RIM  Release 3. It is based on changes approved in Harmonization in November 2010. This release of the RIM is bound to HL7 Abstract Data Types Release 2.,,https://lod-cloud.net/dataset/bioportal-hl7,SLR,publication,bioportal-hl7
Inspections of the Supreme Audit Office of the Czech Republic,czech; czech-republic; format-dcterms; format-fabio; format-frbr; format-interval; format-schema; format-skos; government; license-metadata; lod; no-deref-vocab; provenance-metadata; published-by-third-party; vocab-mappings,Inspections of the Supreme Audit Office of the Czech Republic,,https://lod-cloud.net/dataset/cz-sao-check-actions,cultural heritage,,cz-sao-check-actions
statusnet-scoffoni-net,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-pos; format-rdf; format-rdfs; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://scoffoni.net,,https://lod-cloud.net/dataset/statusnet-scoffoni-net,,,statusnet-scoffoni-net
Research Assessment Exercise 2001 (RKBExplorer),deref-vocab; format-akt; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,,,https://lod-cloud.net/dataset/rkb-explorer-rae2001,,,rkb-explorer-rae2001
IWN,Linguistic Dataset LOD RDF; linguistic; llod; lod; rdf; wordnet,"This is the dataset corresponding to the ItalWordNet as created at the Institute of Computational Linguistic ""A. Zampolli"" in Pisa.  The resource contains single instances such as single synset and single word/wordsense and collective files to list all synsets and word(sense)s.    The resource has been created according to the WN2.0 specification  http://www.w3.org/2006/03/wn/wn20/",,https://lod-cloud.net/dataset/iwn,linguistics,lexicon,iwn
The Eurostat Linked Data,country-codes; currency; debt; deref-vocab; energy; environment; eu-institution; europe; format-dcterms; format-geo; format-qb; format-rdf; format-sdmx; format-skos; government; health; indicators; information-communication-technologies; international; linked-data; lod; lodcloud; lodcloud-diagram-2014-08-30; lodcloud.candidate; population; provenance-metadata; published-by-third-party; social-development; socioeconomics; statistics; void-sparql-endpoint,All Eurostat statistics  converted to RDF and re-published using [Linked Data principles](http://linkeddata.org/). This service is operated by [DERI](http://www.deri.ie/). For the license  see [Eurostat's](http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy) copyright policy.,,https://lod-cloud.net/dataset/the-eurostat-linked-data,,,the-eurostat-linked-data
EU Soccer League,Soccer; European Soccer; Leagues; Matches; Players; Football; Team,THis ontology allows the user to be able to link Football (Soccer for my American people) matches with players who played in the match  From which team the players are. Also allows to query/store player statistics and team statistics. Kindly download the OWL/RDF file provided and load it onto tools like protege or GraphDB or AllegroGraph (depending on your use case). We have tested the ontology on the tools mentioned. It can be visualized and queried easily.,,https://lod-cloud.net/dataset/KG:Course_Submission,cultural heritage,,KG:Course_Submission
