,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
540,bioportal-icd10pcs,https://lod-cloud.net/dataset/bioportal-icd10pcs,ICD-10-PCS,ICD-10-PCS  2009,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,unclear by title and abstract. biomedicine among keywords. bioportal as website,,,
732,bioportal-icd10,https://lod-cloud.net/dataset/bioportal-icd10,ICD10,International Statistical Classification of Diseases and Related Health Problems (ICD-10). 10th rev. Geneva,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,disease in the abstract,,,
1070,bioportal-icd10cm,https://lod-cloud.net/dataset/bioportal-icd10cm,ICD10CM,International Classification of Diseases  10th Edition  Clinical Modification  2011_01,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,disease in the abstract,,,
661,omwn-isl,https://lod-cloud.net/dataset/omwn-isl,IceWordNet WordNet (as part of Open Multilingual WordNet),The IceWordNet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,lexicon; wordnet; lemon,linguistic,wordnet in the title,,,
267,ichoose,https://lod-cloud.net/dataset/ichoose,ichoose,SUNY Albany Center for Technology in Government I-Choose project,deref-vocab; format-coin; format-con; format-conv; format-datafaqs; format-dbpedia; format-dc; format-dcat; format-doap; format-foaf; format-org; format-ov; format-owl; format-pml; format-pmlj; format-pmlp; format-prov; format-rdf; format-rdfs; format-sio; format-sioc; format-tag; format-vann; format-void; lod; prizms; provenance-metadata; vocab-mappings,not classified,unclear by title and abstract and keywords.,,,
1380,bioportal-icpc2p,https://lod-cloud.net/dataset/bioportal-icpc2p,ICPC-2 PLUS,ICPC-2 PLUS,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,unclear by title and abstract. biomedicine among keywords. bioportal as website,,,
847,bioportal-icps,https://lod-cloud.net/dataset/bioportal-icps,ICPS Network,Ontology network about Patient Safety Incident. This work has been carried out by the Ontological Engineering Group  using sources from the University of Saint Etienne and the Australian Patient Safety Foundation  and supported by the World Health Organisation under the International Classification for Patient Safety programme.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,patient in the abstract,,,
1285,idreffr,https://lod-cloud.net/dataset/idreffr,IdRef: Sudoc authority data,Source : [IdRef](http://www.idref.fr)    IdRef is a Web application dedicated to Sudoc authority data.  [Sudoc](http://www.sudoc.abes.fr) is the French academic union catalogue  maintained by ABES.  IdRef promotes the use of these authority data beyond Sudoc  in other French Higher Education applications.    Size : more than 2 millions authority records    Vocabularies : Dublin Core  FOAF  BIBO  etc.    Licensing : not yet  but will be as open as possible,authority; bibliographic; format-rdf; france; idref; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; publications; published-by-producer; rdf; sudoc; unioncatalogue,not classified - government,,,,
801,rkb-explorer-ieee,https://lod-cloud.net/dataset/rkb-explorer-ieee,IEEE Papers (RKBExplorer),,deref-vocab; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,papers,inaccessible resource,,,
221,twc-ieeevis,https://lod-cloud.net/dataset/twc-ieeevis,IEEE VIS Source Data,Collection of the datasets used by papers published in [IEEE VIS](http://ieeevis.org/) and related conferences  provided as [Linked Open Data](http://linkeddata.org/). This dataset is derived from the individual datasets listed in the [ieee-vis](http://datahub.io/group/ieee-vis) group. (Note that this LOD bubble should be connected to http://datahub.io/dataset/rkb-explorer-ieee/related),crossdomain; datafaqs; deref-vocab; format-bibo; format-coin; format-con; format-conv; format-datafaqs; format-dbpedia; format-dc; format-dcat; format-doap; format-event; format-foaf; format-geo; format-graffle; format-grddl; format-irw; format-nfo; format-oboro; format-opm; format-ov; format-owl; format-pml; format-pmlj; format-pmlp; format-prov; format-prv; format-qb; format-rdf; format-rdfs; format-sio; format-sioc; format-skos; format-tag; format-vann; format-void; format-vsr; lod; lodcloud-diagram-2014-08-30; no-license-metadata; prizms; provenance-metadata; published-by-third-party; vocab-mappings,papers/SLR,"by title, absract, keywords",,,
1132,ietflang,https://lod-cloud.net/dataset/ietflang,ietflang,Mapping from IETF language tags (aka. RFC 4646 or BCP 47) to Lexvo  Glottolog  WALS  IDS and ontologi.es,llod; lod; lodcloud-diagram-2014-08-30,linguistic,"linguistic, mainly by keywords",,,
368,im@sparql,https://lod-cloud.net/dataset/im@sparql,im@sparql,im@s + sparql = im@sparql  広がるアイマスワールドをオープンデータ化 WebやアプリからSPARQLで検索・利用可能なエンドポイント,,not classified,"unclear by title, absrtact and keyword. description not in english",,,
296,imagery_bailingniao,https://lod-cloud.net/dataset/imagery_bailingniao,imagery bailingniao,imagery bailingniao,,not classified,"unclear by title, absrtact and keyword. empty and inaccessible resource",,,
1425,imagesnippets,https://lod-cloud.net/dataset/imagesnippets,Imagesnippets Image Descriptions,Contains descriptions of a variety of photographic images  using properties defined by the Lightweight Image Ontology.,crossdomain; lod; published-by-third-party; usergeneratedcontent,cultural heritage,"protographies considered ch, tangible one",multimodal/image,yes,
481,bioportal-imgt,https://lod-cloud.net/dataset/bioportal-imgt,IMGT-ONTOLOGY,"IMGT-ONTOLOGY is the first ontology for immunogenetics and immunoinformatics. It provides a semantic specification of the terms to be used in immunogenetics and immunoinformatics and manages the related knowledge  thus allowing the standardization for immunogenetics data from genome  proteome  genetics  two-dimensional (2D) and three-dimensional (3D) structures.  IMGT-ONTOLOGY manages the knowledge through diverse facets relying on seven axioms  ""IDENTIFICATION""  ""CLASSIFICATION""  ""DESCRIPTION""  ""NUMEROTATION""  ""LOCALIZATION""  ""ORIENTATION"" and ""OBTENTION"". These axioms postulate that any object  any process and any relation can be identified  classified  described  numbered  localized and orientated  and the way it is obtained can be characterized. The axioms constitute the Formal IMGT-ONTOLOGY  also designated as IMGT-Kaleidoscope. As the same axioms can be used to generate concepts for multi-scale level approaches  the Formal IMGT-ONTOLOGY represents a paradigm for system biology ontologies  which need to identify  to classify  to describe  to number  to localize and to orientate objects  processes and relations at the molecule  cell  tissue  organ  organism or population levels.  IMGT®  the international ImMunoGeneTics information system®  has been built on IMGT-ONTOLOGY.  The version 1.0.1 of IMGT-ONTOLOGY  edited with Protégé (v4.2.0)  includes the concepts of IDENTIFICATION which are ""ChainType""  ""Classtype""  ""ConfigurationType""  ""EntityType""  ""FormatType""  ""FunctionalityType""  ""GeneType""  ""LevelChainType""  ""LocationType""  ""MolecularComponent""  ""MoleculeType""  ""MoleculeUnit""   ""StructureType""  and  ""TaxonRank"".",biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,immunogenetics and immunoinformatics in the abstract. ontology,,,
250,IGVLL0000018b23ffb207,https://lod-cloud.net/dataset/IGVLL,Index Graecorum Vocabulorum in LiLa,Index of 1 763 Ancient Greek loanwords in Latin  mapped against the LiLa lemma bank.,Latin; Lexicon; LLOD; LiLa; Ancient Greek,linguistic,,,,
1185,odc-imd-environment-score,https://lod-cloud.net/dataset/odc-imd-environment-score,"Index of Multiple Deprivation, Living Environment Deprivation Domain, Scores 2010",This dataset contains the scores for the Living Environment Deprivation Domain of the Index of Multiple Deprivation  2010. This indicator measures the quality of individuals’ immediate surroundings both within and outside the home. A high number indicates a high level of deprivation.       Example:  http://opendatacommunities.org/id/IMD/2010/IMD-environment-score/LSOA/E01000001    Download:  http://opendatacommunities-downloads.s3.amazonaws.com/imd-2010-environment-score.ttl.zip,deref-vocab; government; lod; lodcloud.nolinks; lodcloud.unconnected; published-by-third-party,not classified - government,,,,
439,IndexThomisticusTreebank0000018ae0f5b45e,https://lod-cloud.net/dataset/IndexThomisticusTreebank,Index Thomisticus Treebank in LiLa,The Index Thomisticus Treebank linked to the LiLa Knowledge Base is a corpus that contains Latin texts of Thomas Aquinas (Medieval Latin) enhanced with complex and interlinked morphological  syntactic and semantic/pragmatic annotation.,Latin; LLOD; Corpus; Thomas Aquinas; LiLa,linguistic,,,,
19,https:data.bioontology.orgontologiesIBDsubmissions1downloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,https://lod-cloud.net/dataset/https:data.bioontology.orgontologiesIBDsubmissions1downloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,Indian Biodiversity,Indian Biodiversity,Indian Biodiversity; Ontology,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
269,http:www.semanticweb.orgmcaontologies20188untitled-ontology-47,https://lod-cloud.net/dataset/http:www.semanticweb.orgmcaontologies20188untitled-ontology-47,Indian Biodiversity,Indian Biodiversity,,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
612,https:bioportal.bioontology.orgontologiesIBIO,https://lod-cloud.net/dataset/https:bioportal.bioontology.orgontologiesIBIO,Indian Biodiversity,Indian Biodiversity,,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
871,_https:data.bioontology.orgontologiesBOFdownloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf,https://lod-cloud.net/dataset/_https:data.bioontology.orgontologiesBOFdownloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf,Indian Biodiversity,Indian Biodiversity,,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
1103,https:data.bioontology.orgontologiesIBIOsubmissions1downloadapikey=66c2aec1-4044-4900-979d-6f529857554a,https://lod-cloud.net/dataset/https:data.bioontology.orgontologiesIBIOsubmissions1downloadapikey=66c2aec1-4044-4900-979d-6f529857554a,Indian Biodiversity,Indian Biodiversity,,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
1177,https:bioportal.bioontology.orgontologiesIBIOp=summary,https://lod-cloud.net/dataset/https:bioportal.bioontology.orgontologiesIBIOp=summary,Indian Biodiversity,The Indian Biodiversity,,cultural heritage,biodiversity. hence it is relevant for natural heritage,,yes,
873,Bioportal_link,https://lod-cloud.net/dataset/Bioportal_link,Indian Terrorism Ontology (InTO),Creating the largest comprehensive knowledge base of terrorism and related activities  people and agencies involved  and extremist movements; and providing a platform to the society  the government  and the military personnel in order to combat the evolving threat of the global menace of terrorism.,,not classified,,,,
1170,ineverycrea-argentina,https://lod-cloud.net/dataset/ineverycrea-argentina,"IneveryCREA Argentina, la comunidad de la creatividad educativa","<p>  <a href=""http://www.ineverycrea.com.ar/"">IneveryCREA Argentina (Santillana) </a>  is the community of educational creativity for teachers and education professionals to create  develop and share original educational resources in Argentina.  </p>  <p>  Santillana is the leading textbook and general-interest publishing group in Spain and Latin America  and the most prestigious publisher of literary works in Spanish. With more than 108 million books sold in 2010  the company has been synonymous with quality  innovation and service to teaching staff since its inception in 1960.  </p>  <p>  IneveryCREA Argentina (Santillana) works with   <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. IneveryCREA offers a selection of 592 resources (November 2012). It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.  </p>    <p>  <a href=""http://www.ineverycrea.com.ar/"">IneveryCREA Argentina (Santillana)</a> es la comunidad de la creatividad educativa para profesores y profesionales de la educación que crean  desarrollan y comparten recursos educativos originales en Argentina.  </p>  <p> Santillana es el grupo editorial líder en texto escolar y ediciones generales en España y América Latina  y la referencia en el campo de la creación literaria en lengua española. Con más de 108 millones de libros vendidos en el año 2010  es sinónimo de calidad  innovación y servicio al profesorado desde su creación en 1960.</p>  <p>  IneveryCREA Argentina (Santillana) trabaja con   <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. IneveryCREA ofrece en este caso una selección de 592 recursos (Noviembre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.  </p>",ESO; actividades interactivas; américa; argentina; bachillerato; corporate excellence; country-spain; country.es; creatividad educativa; dc; educación; educación 2.0; educación infantil; educación primaria; escuela 2.0; foaf; format-dc; format-dcam; format-foaf; format-rdfg; format-sioc; format-skos; format-wot; gnoss; herramientas 2.0; inevery crea; ineverycrea; innovación educativa; laboratorio de ideas; language-spa; license-metadata; lod; material educativo; no-proprietary-vocab; no-vocab-mappings; pedagogía; pizarra digital; plataforma educativa; profesores; provenance-metadata; proyecto colaborativo; published-by-third-party; recursos educativos originales; red educativa; schemata; sioc; skos; socialweb; sp; spain; unidades didácticas; usergeneratedcontent; videos educativos; wrapper,education,"from title, abstract, keywords",,,
140,ineverycrea,https://lod-cloud.net/dataset/ineverycrea,"IneveryCREA, la comunidad de la creatividad educativa","<p>  <a href=""http://ineverycrea.net/"">IneveryCREA (Santillana)</a> is the community of educational creativity for teachers and education professionals to create  develop and share original educational resources in Spain.  </p>  <p>  Santillana is the leading textbook and general-interest publishing group in Spain and Latin America  and the most prestigious publisher of literary works in Spanish. With more than 108 million books sold in 2010  the company has been synonymous with quality  innovation and service to teaching staff since its inception in 1960.  </p>  <p>  IneveryCREA (Santillana) works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. IneveryCREA offers a selection of 2 554 resources (November 2012). It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.  </p>    <p>  <a href=""http://ineverycrea.net/"">IneveryCREA (Santillana)</a> es la comunidad de la creatividad educativa para profesores y profesionales de la educación que crean  desarrollan y comparten recursos educativos originales.  </p>  <p> Santillana es el grupo editorial líder en texto escolar y ediciones generales en España y América Latina  y la referencia en el campo de la creación literaria en lengua española. Con más de 108 millones de libros vendidos en el año 2010  es sinónimo de calidad  innovación y servicio al profesorado desde su creación en 1960.</p>  <p>  IneveryCREA (Santillana) trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. IneveryCREA ofrece en este caso una selección de 2.554 recursos (Noviembre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.  </p>",ESO; actividades interactivas; bachillerato; country-spain; country.es; creatividad educativa; dc; educación; educación 2.0; educación infantil; educación primaria; escuela 2.0; foaf; format-dc; format-dcam; format-foaf; format-rdfg; format-sioc; format-skos; format-wot; herramientas 2.0; innovación educativa; language-spa; license-metadata; lod; material educativo; no-proprietary-vocab; no-vocab-mappings; pedagogía; pizarra digital; plataforma educativa; profesores; provenance-metadata; proyecto colaborativo; published-by-third-party; recursos educativos originales; red educativa; schemata; sioc; skos; socialweb; sp; spain; unidades didácticas; usergeneratedcontent; videos educativos; wrapper,education,"from title, abstract, keywords",description in spanish,,
633,bioportal-ido,https://lod-cloud.net/dataset/bioportal-ido,Infectious Disease Ontology,"The IDO ontologies are designed as a set of interoperable ontologies that will together provide coverage of the infectious disease domain. At the core of the set is a general Infectious Disease Ontology (IDO-Core) of entities relevant to both biomedical and clinical aspects of most infectious diseases. Sub-domain specific extensions of IDO-Core complete the set providing ontology coverage of entities relevant to specific pathogens or diseases.   <br><br> To import <br> Latest version: <a href=""http://purl.obolibrary.org/obo/ido.owl"">http://purl.obolibrary.org/obo/ido.owl</a><br> This version (2010-12-02): <a href=""http://purl.obolibrary.org/obo/ido/2010-12-02/ido.owl"">http://purl.obolibrary.org/obo/ido/2010-12-02/ido.owl</a><br> Previous  versions:<br> 2010-05-26 <a href=""http://purl.obolibrary.org/obo/ido/2010-05-26/ido.owl"">http://purl.obolibrary.org/obo/ido/2010-05-26/ido.owl</a><br> 2009-08-14 <a href=""http://purl.obolibrary.org/obo/ido/2009-08-14/ido.owl"">http://purl.obolibrary.org/obo/ido/2009-08-14/ido.owl</a><br> <br> <br> Latest release notes at <a href=""http://infectiousdiseaseontology.org/page/Download"">http://infectiousdiseaseontology.org/page/Download</a><br>   Please note: The ontology metrics displayed by BioPortal are incorrect as of 8/11/2011. If you need accurate number you will need to compute them on your own  until further notice. In particular these metrics do not distinguish OBI-developed terms versus terms imported from other ontologies  and do not count existing author or definition annotations",biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,disease in the title. ontology,,,
1652,influence-tracker-dataset,https://lod-cloud.net/dataset/influence-tracker-dataset,Influence Tracker Dataset,Datasets regarding the Influence Tracker (http://www.influencetracker.com) service.  The SPARQL endpoint can be found at http://www.influencetracker.com:8890/sparql .,LOD; access-api; access-bulk; access-www; format-foaf; format-rdf; format-rdfs; influence; microblog; network; ontology; rdf; social; socialweb; twitter; usergeneratedcontent,not classified,,,,
388,bioportal-flu,https://lod-cloud.net/dataset/bioportal-flu,Influenza Ontology,Starting in the fall of 2007  a collaborative group of influenza researchers have established an influenza ontology. The influenza ontology is an application ontology.   Consolidated influenza sequence and surveillance terms from resources such as the BioHealthBase (BHB)  a Bioinformatics Resource Center (BRC) for Biodefense and Emerging and Re-emerging Infectious Diseases  the Centers for Excellence in Influenza Research and Surveillance (CEIRS),biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,influenza mentioned in title and abstract. otnology,,,
915,"Kumar,_Gireesh__and_Singh,_Anand","https://lod-cloud.net/dataset/Kumar,_Gireesh__and_Singh,_Anand",Informatics Studies,Heritage Informatics,Cultural Heritage; Heritage Classification,cultural heritage,"unclear from title and abstract. CH explicitly mentioned in the keywords. links provide access to an article. no access to the actual resource. by links, explicit reference to intangible ch",,,
573,bioportal-iao,https://lod-cloud.net/dataset/bioportal-iao,Information Artifact Ontology,"The Information Artifact Ontology (IAO) is a new ontology of information entities  originally driven by work by the OBI digital entity and realizable information entity branch.<p>  <p><b>To import</b><p>  Latest released version: <a href=""http://purl.obolibrary.org/obo/iao.owl"">http://purl.obolibrary.org/obo/iao.owl</a><p>  <b>Other versions</b><p>  Developer (live) version: <a href=""http://purl.obolibrary.org/obo/iao/dev/iao.owl"">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>  Ontology metadata properties and classes only: <a href=""http://purl.obolibrary.org/obo/iao/dev/ontology-metadata.owl"">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>  <b>Dated versions</b> <ul> <li><a href=""http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl"">http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl"">http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl"">http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl"">http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl</a> </ul><p>  <p>Please note: The ontology metrics displayed by BioPortal are incorrect as of 7/23/2011. If you need accurate number you will need to compute them on your own  until further notice. In particular these metrics do not distinguish IAO-developed terms versus terms imported from other ontologies  and do not count existing author or definition annotations  <p><b>Tracker</b>: <a href=""http://purl.obolibrary.org/obo/iao/tracker"">http://purl.obolibrary.org/obo/iao/tracker</a><br> <b>Discussion group</b>: <a href=""http://groups.google.com/group/information-ontology"">http://groups.google.com/group/information-ontology</a>",biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,unclear by the abstract. keywords seems to be not aligned with abstract. the website links to bioportal.,,,
1334,cz-ctia-inspections,https://lod-cloud.net/dataset/cz-ctia-inspections,Inspections of the Czech Trade Inspection Authority,Basic information about inspections of the Czech Trade Inspection Authority,format-adms; format-schema; format-skos; government; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - government,,,,
945,cz-sao-check-actions,https://lod-cloud.net/dataset/cz-sao-check-actions,Inspections of the Supreme Audit Office of the Czech Republic,Inspections of the Supreme Audit Office of the Czech Republic,czech; czech-republic; format-dcterms; format-fabio; format-frbr; format-interval; format-schema; format-skos; government; license-metadata; lod; no-deref-vocab; provenance-metadata; published-by-third-party; vocab-mappings,not classified - government,,,,
310,twc-hub,https://lod-cloud.net/dataset/twc-hub,Instance Hub (all),Linked Data representations of common entities and concepts that occur in many datasets.,crossdomain; deref-vocab; format-con; format-conv; format-datafaqs; format-dbpedia; format-dc; format-dcat; format-dgtwc; format-doap; format-foaf; format-irw; format-oboro; format-opm; format-ov; format-owl; format-pml; format-pmlj; format-pmlp; format-prov; format-rdf; format-rdfs; format-sio; format-sioc; format-skos; format-tag; format-vann; format-void; lod; no-license-metadata; prizms; provenance-metadata; published-by-producer; vocab-mappings,not classified,unclear from the title and abstract,,,
206,instance-hub-fiscal-years,https://lod-cloud.net/dataset/instance-hub-fiscal-years,Instance Hub Fiscal Years,"A fiscal year is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations. This dataset lists the variety of fiscal years for different countries and different domains (corporate  government  personal). Based on the information at http://en.wikipedia.org/wiki/Fiscal_year",helpme; lod,not classified - government,,,,
1153,rkb-explorer-eurecom,https://lod-cloud.net/dataset/rkb-explorer-eurecom,Institut Eurécom (RKBExplorer),,deref-vocab; format-akt; format-dc; format-rdf; lod; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,not classified,unclear from the title and abstract. not working links in the resource,,,
1418,cz-vavai-research-plans,https://lod-cloud.net/dataset/cz-vavai-research-plans,Institutional research plans,Institutional research plans of R&D from http://www.isvav.cz/ .,deref-vocab; format-dcterms; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified,unclear from the title and abstract. ,,,
1359,eu-institutions,https://lod-cloud.net/dataset/eu-institutions,Institutions and Bodies of the European Union,This site defines Linked Data compatible URIs for major institutions and bodies of the European Union that can be used as identifiers in EU-related datasets.     http://institutions.publicdata.eu/,deref-vocab; eu-institution; government; license-metadata; lod; lodcloud-diagram-2011-09-19; provenance-metadata; published-by-third-party,not classified - government,,,,
277,cz-ovm,https://lod-cloud.net/dataset/cz-ovm,Institutions of public power of the Czech Republic,This dataset contains detailed information about every institution of public power in the Czech Republic,czech; czech republic; deref-vocab; format-adms; format-dcterms; format-foaf; format-gr; format-schema; format-skos; government; license-metadata; lod; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified - government,,,,
806,cz-cenia-pollution,https://lod-cloud.net/dataset/cz-cenia-pollution,Integrated pollution registry,Data about business entities that pollute the environment.,czech; czech-republic; deref-vocab; format-adms; format-dcterms; format-gr; format-owl; format-schema; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - government/geography,"environment/pollution by title, abstract, keywords",,,
756,bioportal-ino,https://lod-cloud.net/dataset/bioportal-ino,Interaction Network Ontology,"The Interaction Network Ontology (INO) is an ontology in the domain of interaction network. INO aims to standardize interaction network annotation  integrate various interaction network data  and support computer-assisted reasoning. It is aimed to represent general interactions (e.g.  molecular interactions) and interaction networks (e.g.  Bayesian network). INO was initiated by supporting literature mining related to interactions and interaction networks.  INO has been initiated and led by by Dr. Yongqun ""Oliver"" He at the University of Michigan Medical School. INO aligns with BFO. INO is a community-based ontology  and its development follows the OBO Foundry principles.",biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,unclear by title and abstract. biomedicine cited among keywords. link to bioportal.,,,
1129,interactivemaps-gnoss,https://lod-cloud.net/dataset/interactivemaps-gnoss,"Interactive Maps, a collection of interactive flash maps (GNOSS)","<p>  <a href=""http://mapasinteractivos.didactalia.net/"">Mapas interactivos</a> is a collection of interactive flash maps developed by   <a href=""http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos/perfil/Enrique-Alonso-Guti%C3%A9rrez/"">Enrique Alonso</a>   to facilitate the physical and political geography learning. It includes maps of Spain and its autonomies  Europe and its countries  the European Union  Asia  Africa  and America and countries of America. The project  with maps in 10 languages  is part of <a href=""http://didactalia.net/"">Didactalia (GNOSS)</a>.  </p>  <p>  Mapas interactivos works with   <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>  . RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. Mapas interactivos offers a selection of 841 maps (November 2012). It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.  </p>    <p>  <a href=""http://mapasinteractivos.didactalia.net/"">Mapas interactivos</a>   es una colección de mapas en flash elaborados por <a href=""http://mapasinteractivos.didactalia.net/comunidad/mapasflashinteractivos/perfil/Enrique-Alonso-Guti%C3%A9rrez/"">Enrique Alonso</a> para facilitar el aprendizaje de Geografía (física y política). Incluye mapas de España y sus Comunidades Autónomas; países de Europa  Europa y la Unión Europea; Asia; África; y países de América y América. El proyecto forma parte de <a href=""http://didactalia.net/"">Didactalia (GNOSS)</a> y está en 10 idiomas.  </p>  <p>  Mapas interactivos trabaja con   <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. Mapas interactivos ofrece en este caso una colección con 841 mapas en flash (Octubre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.  </p>",country-spain; country.es; dc; enrique alonso; enrique alonso gutiérrez; foaf; format-dc; format-dcam; format-foaf; format-rdfg; format-sioc; format-skos; format-wot; juegos de geografía; language-spa; license-metadata; lod; mapas enrique alonso; mapas flash; mapas flash interactivos; mapas físicos; mapas interactivos; mapas interactivos flash; mapas políticos; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; schemata; sioc; skos; socialweb; sp; spain; usergeneratedcontent; wrapper,"education, geography","justified as ""geography learning"" in the description",,yes,
708,ids,https://lod-cloud.net/dataset/ids,Intercontinental Dictionary Series,1200 words in 200 languages,LOD; crossdomain; linguistic; linguistics; lod; published-by-producer; typology,linguistic,,,,
874,bioportal-icnp,https://lod-cloud.net/dataset/bioportal-icnp,International Classification for Nursing Practice,International Classification for Nursing Practice,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,nursing in the abstract,,,
98,bioportal-icd9cm,https://lod-cloud.net/dataset/bioportal-icd9cm,International Classification of Diseases,The ICD is the international standard diagnostic classification for all general epidemiological  many health management purposes and clinical use.,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,diseases in the abstract,,,
992,bioportal-icf_x1,https://lod-cloud.net/dataset/bioportal-icf_x1,"International Classification of Functioning, Disability and Health (ICF)","The International Classification of Functioning  Disability and Health  known more commonly as ICF  is a classification of health and health-related domains. These domains are classified from body  individual and societal perspectives by means of two lists: a list of body functions and structure  and a list of domains of activity and participation. Since an individual's functioning and disability occurs in a context  the ICF also includes a list of environmental factors. <br><br> Source: <a href=""http://www.who.int/classifications/icf/en/"">http://www.who.int/classifications/icf/en/</a>",biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,health explicitly mentioned in title and abstract,,,
836,bioportal-icpc,https://lod-cloud.net/dataset/bioportal-icpc,International Classification of Primary Care,The International Classification of Primary Care (ICPC). Denmark: World Organisation of Family Doctors  1993.,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,care explicitly mentioned in title and abstract,,,
